Date,AdaptiveBeta,IBS-SPY,Hotel,PureAlpha,Victor,Sugar,Oscar,IBS-TLT,Hermes,Quebec,Mike,Tango,Juliet,Suprtrend(TRAMA)-SPY,IBS-QQQ,IBS-SOXX,India,Prime,Hotel2,CAA,LEGOM,IBS-IEF,FS-SPY,SPY,VGLT,Vision,Prime*,LEGOD,AB(TCBIT)
1993-05-06,,,,,,,,,,,,,,,,,,,,,,,,-0.0035040270501351944,,,,,
1993-05-07,,,,,,,,,,,,,,,,,,,,,,,,-0.002109592252867998,,,,,
1993-05-10,,,,,,,,,,,,,,,,,,,,,,,,0.002114052040675052,,,,,
1993-05-11,,,,,,,,,,,,,,,,,,,,,,,,0.004219494227483578,,,,,
1993-05-12,,,,,,,,,,,,,,,,,,,,,,,,-0.0014013850541956252,,,,,
1993-05-13,,,,,,,,,,,,,,,,,,,,,,,,-0.011921115497427026,,,,,
1993-05-14,,,,,,,,,,,,,,,,,,,,,,,,-0.000708930278754516,,,,,
1993-05-17,,,,,,,,,,,,,,,,,,,,,,,,0.0035509197021224015,,,,,
1993-05-18,,,,,,,,,,,,,,,,,,,,,,,,-0.000707546379548285,,,,,
1993-05-19,,,,,,,,,,,,,,,,,,,,,,,,0.020538052047874844,,,,,
1993-05-20,,,,,,,,,,,,,,,,,,,,,,,,0.002775650834953236,,,,,
1993-05-21,,,,,,,,,,,,,,,,,,,,,,,,-0.00899669582687268,,,,,
1993-05-24,,,,,,,,,,,,,,,,,,,,,,,,0.004190029292682862,,,,,
1993-05-25,,,,,,,,,,,,,,,,,,,,,,,,0.00208650280766709,,,,,
1993-05-26,,,,,,,,,,,,,,,,,,,,,,,,0.012490887214179791,,,,,
1993-05-27,,,,,,,,,,,,,,,,,,,,,,,,-0.0034267980010949106,,,,,
1993-05-28,,,,,,,,,,,,,,,,,,,,,,,,-0.004814225888319146,,,,,
1993-06-01,,,,,,,,,,,,,,,,,,,,,,,,0.009675181739709604,,,,,
1993-06-02,,,,,,,,,,,,,,,,,,,,,,,,-0.0013692041508409636,,,,,
1993-06-03,,,,,,,,,,,,,,,,,,,,,,,,-0.0034267980010949106,,,,,
1993-06-04,,,,,,,,,,,,,,,,,,,,,,,,-0.0034385813247049812,,,,,
1993-06-07,,,,,,,,,,,,,,,,,,,,,,,,-0.003450901889493041,,,,,
1993-06-08,,,,,,,,,,,,,,,,,,,,,,,,-0.009003155561303156,,,,,
1993-06-09,,,,,,,,,,,,,,,,,,,,,,,,0.003494542513625243,,,,,
1993-06-10,,,,,,,,,,,,,,,,,,,,,,,,0.0006964439722594307,,,,,
1993-06-11,,,,,,,,,,,,,,,,,,,,,,,,0.004175679031520163,,,,,
1993-06-14,,,,,,,,,,,,,,,,,,,,,,,,-0.001386206818669522,,,,,
1993-06-15,,,,,,,,,,,,,,,,,,,,,,,,-0.0020821583783646735,,,,,
1993-06-16,,,,,,,,,,,,,,,,,,,,,,,,0.00208650280766709,,,,,
1993-06-17,,,,,,,,,,,,,,,,,,,,,,,,0.003469448929468877,,,,,
